Company,City,Sector,Employees,Founded,Score,Band,HR Posting,Posting Title,Recent Funding,Funding Note,GD Rating,GD Note,Signals,Website,Run Date,_band_order
Hatchways,Toronto,EdTech/Hiring,30,2018,0,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2018 (8y) (0) | ℹ️  30 employees (0),hatchways.io,2026-03-12,2
OneLocal,Toronto,MarTech,50,2017,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2017 (9y) (0) | ✅ 50 employees (Alan sweet spot) (+5),onelocal.com,2026-03-12,2
Coconut Software,Saskatoon,FinTech,80,2011,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2011 (15y) (0) | ✅ 80 employees (Alan sweet spot) (+5),coconutsoftware.com,2026-03-12,2
Introhive,Fredericton,SalesTech,200,2012,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2012 (14y) (0) | ✅ 200 employees (Alan sweet spot) (+5),introhive.com,2026-03-12,2
Dialogue,Montreal,HealthTech,400,2016,0,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2016 (10y) (0) | ℹ️  400 employees (0),dialogue.co,2026-03-12,2
AlayaCare,Montreal,HealthTech,400,2014,0,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2014 (12y) (0) | ℹ️  400 employees (0),alayacare.com,2026-03-12,2
Axonify,Waterloo,EdTech,350,2011,0,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2011 (15y) (0) | ℹ️  350 employees (0),axonify.com,2026-03-12,2
Unbounce,Vancouver,MarTech,250,2009,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2009 (17y) (0) | ✅ 250 employees (Alan sweet spot) (+5),unbounce.com,2026-03-12,2
Top Hat,Toronto,EdTech,300,2009,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2009 (17y) (0) | ✅ 300 employees (Alan sweet spot) (+5),tophat.com,2026-03-12,2
Thinkific,Vancouver,EdTech,300,2012,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2012 (14y) (0) | ✅ 300 employees (Alan sweet spot) (+5),thinkific.com,2026-03-12,2
Sampler,Toronto,eCommerce,80,2013,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2013 (13y) (0) | ✅ 80 employees (Alan sweet spot) (+5),sampler.io,2026-03-12,2
StackAdapt,Toronto,AdTech,500,2013,0,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2013 (13y) (0) | ℹ️  500 employees (0),stackadapt.com,2026-03-12,2
